Name	mmX(row1)	mmY(row1)	mmZ(row1)	mmX(row2)	mmY(row2)	mmZ(row2)	mmX(row3)	mmY(row3)	mmZ(row3)	mmX(row4)	mmY(row4)	mmZ(row4)	mmX(row5)	mmY(row5)	mmZ(row5)	mmX(row6)	mmY(row6)	mmZ(row6)	mmX(row7)	mmY(row7)	mmZ(row7)	mmX(row8)	mmY(row8)	mmZ(row8)	mmX(row9)	mmY(row9)	mmZ(row9)	mmX(row10)	mmY(row10)	mmZ(row10)	mmX(row11)	mmY(row11)	mmZ(row11)	mmX(row12)	mmY(row12)	mmZ(row12)	mmX(row13)	mmY(row13)	mmZ(row13)	mmX(row14)	mmY(row14)	mmZ(row14)	mmX(row15)	mmY(row15)	mmZ(row15)	mmX(row16)	mmY(row16)	mmZ(row16)
E4SA001.csv	-120.9328	-20.57031	-392.1	-116.0109	-4.398438	-402	-110.3859	-2.289062	-421.8	-35.85469	-15.64844	-478.5	-19.68281	-21.27344	-480.3	-0.698438	-21.97656	-481.2	17.58281	-16.35156	-480.3	90.70781	-5.804688	-429	96.33281	-7.210938	-410.1	101.2547	-26.89844	-399.3	40.08281	120.7578	-367.8	43.59844	113.7266	-382.2	43.59844	110.2109	-397.5	-60.46406	115.8359	-392.1	-58.35469	117.2422	-382.2	-51.32344	121.4609	-371.4
E4SA002.csv	-121.2516	-41.49844	-490.9	-114.2203	-28.13906	-502.6	-104.3766	-20.40469	-514.3	-29.84531	-30.95156	-553	-10.86094	-31.65469	-552.1	3.904687	-30.95156	-554.8	20.07656	-26.73281	-557.5	93.20156	5.610938	-522.4	102.3422	-1.420313	-505.3	108.6703	-15.48281	-497.2	20.07656	113.1891	-460.3	27.10781	108.2672	-474.7	32.73281	102.6422	-487.3	-67.81406	89.28281	-480.1	-63.59531	97.72031	-469.3	-52.34531	106.8609	-454
E4SA003.csv	-118.9688	20.95625	-304	-110.5312	32.76875	-319.3	-104.3438	34.45625	-337.3	-47.53125	24.89375	-392.2	-29.53125	26.58125	-391.3	-21.65625	25.45625	-392.2	-3.65625	23.20625	-395.8	61.03125	32.76875	-355.3	70.59375	27.70625	-331	79.03125	17.58125	-320.2	25.03125	132.3313	-312.1	28.96875	125.5813	-319.3	23.90625	116.0188	-330.1	-63.84375	113.7688	-320.2	-63.28125	124.4563	-309.4	-58.21875	134.5813	-301.3
E4SA004.csv	-118.5533	-11.6962	-272.3	-110.4869	-1.209865	-281.3	-100.0005	2.016699	-302	-35.46925	-15.7294	-352.4	-15.30322	-16.53605	-349.7	-4.010251	-17.34269	-348.8	15.34913	-14.11612	-351.5	76.65385	6.049903	-293	87.14018	7.663186	-278.6	99.2398	-6.049712	-264.2	25.02883	127.8527	-241.7	29.06203	122.2062	-257	33.90188	116.5597	-276.8	-61.28176	106.88	-278.6	-57.24856	113.3332	-261.5	-50.79543	120.5929	-245.3
E4SA005.csv	-142.075	-25.125	-272	-130.075	-10.875	-281.6	-123.325	-7.125	-306.4	-41.575	-19.875	-366.4	-22.825	-25.875	-364	-4.824997	-27.375	-364.8	15.425	-25.125	-364.8	97.925	-26.625	-298.4	107.675	-25.875	-276	119.675	-43.875	-264	44.675	134.625	-252.8	52.925	121.875	-268.8	56.675	104.625	-296	-62.575	115.125	-292.8	-54.325	127.875	-271.2	-43.825	138.375	-252.8
E4SA006.csv	-127.2173	-36.33606	-284.7	-118.9947	-24.00207	-297.3	-111.5943	-20.71301	-321.6	-30.18995	-41.26966	-368.4	-6.344239	-42.09192	-366.6	5.167485	-42.91419	-364.8	25.72413	-40.44739	-362.1	104.6617	-19.89074	-316.2	108.773	-19.06848	-294.6	117.8179	-36.33606	-277.5	35.59133	112.4941	-271.2	41.34719	105.916	-280.2	47.10305	92.7597	-297.3	-51.56887	101.8046	-297.3	-52.39114	105.916	-282.9	-49.92433	114.1386	-272.1
E4SA007.csv	-90.38221	-23.85642	-513.5	-76.34901	-10.75876	-521.5	-65.12244	-11.6943	-543.5	-4.311886	-32.27634	-589.5	16.27015	-36.01853	-589.5	27.49671	-38.82517	-590.5	49.01429	-37.88962	-587.5	120.1159	-40.69626	-541.5	132.278	-37.88962	-522.5	143.5045	-47.24509	-513.5	74.27406	97.76469	-502.5	81.75844	87.47368	-512.5	86.43617	80.92485	-532.5	-10.86072	89.34477	-527.5	-2.440793	95.8936	-511.5	5.043583	106.1846	-498.5
E4SA008.csv	-112.784	-40.10747	-287.6	-106.2801	-24.20904	-302.9	-99.77621	-23.48638	-320.9	-26.0653	-35.04888	-362.3	-6.553584	-38.66216	-362.3	8.622192	-37.9395	-362.3	25.24328	-29.99029	-356.9	95.34091	-6.14264	-316.4	100.3995	-6.14264	-295.7	108.3487	-21.31842	-278.6	32.46984	108.037	-274.1	40.41906	100.0878	-289.4	35.36046	99.36513	-299.3	-62.92075	89.97061	-304.7	-64.36607	96.47451	-293	-60.03013	99.36513	-277.7
E4SA009.csv	-95.27344	-83.21407	-275.4	-90.35156	-67.74532	-285	-85.42969	-61.41719	-301.8	-27.07031	-69.85469	-362.6	-9.492188	-70.55782	-362.6	17.92969	-69.85469	-365	35.50781	-68.44844	-364.2	95.27344	-63.52657	-305	98.78906	-71.26094	-286.6	101.6016	-88.83907	-273	34.10156	41.23906	-248.2	41.83594	37.72343	-259.4	45.35156	34.91093	-277	-40.42969	37.02031	-276.2	-37.61719	41.94218	-257	-36.21094	48.97343	-241
E4SA010.csv	-101.1883	-59.53839	-420.7	-96.64146	-51.20245	-434.3	-84.51647	-44.38215	-462.3	-7.977462	-51.20245	-507.9	13.24127	-54.99151	-505.5	27.6397	-54.99151	-505.5	44.31157	-49.68683	-507.9	113.2725	-37.56184	-452.7	118.5771	-39.07746	-427.1	121.6084	-51.20245	-403.9	54.16312	92.02402	-404.7	54.92093	85.96152	-415.9	54.92093	83.68808	-427.1	-43.59463	73.07871	-434.3	-41.32119	79.89902	-419.9	-41.32119	85.96152	-407.9
